FID,GEOID10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Name,Shape__Area,Shape__Length
103,25025120103,3802045.27,87.2829,1508,696,66,313,177,117,294,238,596.44,Jamaica Plain,3.8572700316e-05,0.02542619954409
104,25025100700,13058453.75,299.7808,4322,1975,421,877,696,485,1181,475,1762.07,Dorchester,0.000132421292808,0.061585584962016
105,25025100603,9541179.81,219.0353,1904,840,185,225,376,120,496,590,752.98,Dorchester,9.67656785e-05,0.074203799591236
106,25025092101,13905650.86,319.2298,6451,2454,1136,1350,590,2401,2991,4545,2240.18,Dorchester,0.000141046594945,0.061461592412502
107,25025061101,1778928.98,40.8386,2232,1044,354,787,207,1542,1749,1783,738.64,Dorchester,1.8051770433e-05,0.020834478607808
108,25025070800,2092259.14,48.0317,3706,2156,340,289,240,1165,1405,1399,1469.35,Roxbury,2.1236218396e-05,0.019891600471924
109,25025070700,1766562.81,40.5547,2361,1366,296,321,232,528,760,1074,935.18,South End,1.7931746006e-05,0.023717543729935
110,25025070600,1426485.77,32.7476,2240,1309,11,331,110,238,348,402,925.17,South End,1.447915581e-05,0.018925617570222
111,25025070500,3199661.22,73.4541,5460,3066,586,967,639,1544,2183,2498,2133.73,South End,3.2476640696e-05,0.031037770260739
112,25025070300,3617102.88,83.0373,3909,2706,212,506,550,951,1501,926,1693.91,Bay Village,3.6717382181e-05,0.029360569643568
113,25025000401,4639384.1,106.5056,5672,2965,887,558,1198,1899,3097,1583,2419.08,Brighton,4.7091257338e-05,0.031094361145369
114,25025000202,6475526.57,148.6576,3885,1522,422,492,389,1116,1505,1515,1457.46,Brighton,6.5737674919e-05,0.041904847710345
115,25025000201,6451197.13,148.0991,3854,1618,222,200,299,547,846,1126,1504.63,Brighton,6.549218073e-05,0.042385932886093
116,25025981100,29412396.21,675.2157,418,136,25,133,8,117,125,334,143.39,Roslindale,0.000298285355886,0.097497377541589
117,25025140105,10880533,249.7827,3675,1324,414,884,386,721,1107,2370,1401.32,Roslindale,0.000110310453892,0.044894380069708
118,25025980700,31654255.2,726.6817,6,5,4,0,4,0,4,1,3.02,Roslindale,0.000320901190005,0.127421946597873
119,25025120105,19809165.83,454.7559,2444,953,234,364,546,206,752,554,1061.8,Jamaica Plain,0.000200961358407,0.079516202476856
120,25025070200,2892950.65,66.413,5218,1690,593,459,692,1919,2611,3469,1949.13,Bay Village,2.9367051008e-05,0.025472747966335
121,25025070101,10969123.93,251.8164,5902,3383,457,465,812,1253,2065,2378,2397.59,Leather District,0.000111355678282,0.054916474155416
122,25025061200,19820250.56,455.0103,3240,2041,133,221,175,547,722,497,1328.07,South End,0.000201167727497,0.079030818552842
123,25025061000,1862434.17,42.7556,3098,1408,618,1058,219,1991,2210,1814,1070.76,South Boston,1.890071174e-05,0.018864067579946
124,25025060800,3672689.59,84.3134,3964,2142,159,429,331,571,902,387,1612.62,South Boston,3.7274082966e-05,0.03029644648403
125,25025060700,1380119.54,31.6832,1893,636,322,710,194,1211,1405,1539,585.33,South Boston,1.4007501132e-05,0.015586835240993
126,25025040401,4652086.45,106.7972,2439,1222,389,530,412,482,894,437,983.66,Charlestown,4.7242550185e-05,0.046402078711952
127,25025020303,4830892.13,110.902,3400,1847,196,289,280,437,717,1353,1387.35,North End,4.9051747513e-05,0.047793230190802
128,25025070402,2880915.51,66.1367,1723,680,317,284,469,1059,1528,1613,649.89,Bay Village,2.9242946885e-05,0.024716664244329
129,25025020302,826400.6,18.9715,1181,721,123,153,153,154,307,170,489.75,West End,8.390260799e-06,0.012034599709332
130,25025020301,2761716.23,63.4003,2023,1414,214,64,449,456,905,620,835.46,West End,2.8040871168e-05,0.035367995965822
131,25025020101,2401692.52,55.1353,4193,2814,172,595,541,280,821,411,1781.09,Back Bay,2.4383233852e-05,0.025813049514255
132,25025081001,6011081.99,137.9955,4890,2287,857,603,556,2718,3274,2710,1884.55,Mission Hill,6.1005630605e-05,0.054715447356667
133,25025010403,953147.47,21.8813,3003,2076,435,65,428,1613,2041,1317,1214.21,Back Bay,9.674939955e-06,0.013280593666105
134,25025000100,19319283.08,443.5097,4254,1707,383,390,389,732,1121,1746,1609.84,Brighton,0.000196150929448,0.094964281205202
135,25025120301,7135172.57,163.801,4795,1895,319,812,244,627,871,2887,1822.78,Jamaica Plain,7.2389107098e-05,0.040522683874539
136,25025071201,4329260.48,99.3861,3131,1399,848,712,265,1647,1912,1913,1194.65,South End,4.3940642752e-05,0.035872354923818
137,25025091001,12771750.15,293.199,2742,1315,416,489,274,898,1172,1143,1074.97,Dorchester,0.000129569851602,0.091888765470653
138,25025091500,4350093.55,99.8644,4370,1653,743,1540,436,1565,2001,3963,1548.72,Dorchester,4.4132606716e-05,0.029805206466856
139,25025091400,3498284.33,80.3096,2741,939,346,397,184,1018,1202,2545,979.08,Roxbury,3.5492911277e-05,0.026526792932319
140,25025091300,2825980.81,64.8756,2499,868,312,630,238,1091,1329,2334,870.74,Roxbury,2.8673931511e-05,0.026920985662905
141,25025091200,3483077.78,79.9605,3234,1239,345,627,179,784,963,2253,1158.82,Dorchester,3.5339211436e-05,0.028351216670298
142,25025091100,4562470.46,104.7399,4861,1966,552,1241,421,1436,1857,2601,1744.62,Dorchester,4.6290207264e-05,0.028562803349407
143,25025090700,11544136.43,265.0169,4275,1990,545,713,390,1295,1685,1678,1671.75,Roxbury,0.00011714071914,0.04466240857002
144,25025090600,3246866.13,74.5378,2348,793,238,718,178,864,1042,2255,834.69,Roxbury,3.2946021851e-05,0.029311390381211
145,25025090400,4575787.71,105.0456,3659,1294,627,1104,387,1314,1701,3570,1263.83,Roxbury,4.6426423392e-05,0.032228125670903
146,25025090300,4094225.77,93.9905,3179,1268,531,925,236,1573,1809,3132,1049.55,Roxbury,4.1536425754e-05,0.029747067376905
147,25025090200,2945580.09,67.6212,2233,830,312,815,216,1662,1878,2193,742.63,Roxbury,2.9881491086e-05,0.025438437464499
148,25025080100,11047170.59,253.6081,3350,744,253,388,131,727,858,2834,1280.14,Roxbury,0.00011210703586,0.059038917511484
149,25025060301,2933185.1,67.3367,3076,1647,320,162,437,443,880,107,1339.75,South Boston,2.9767949666e-05,0.028776031108454
150,25025090901,12625816.75,289.8489,3730,1640,443,752,155,2330,2485,2330,1306.46,Dorchester,0.000128102397751,0.052483799696626
151,25025980101,35693132.84,819.4016,535,0,179,0,12,349,361,370,230.53,Harbor Islands,0.000362207385039,0.288085579551489
152,25025060101,3181825.6,73.0447,3216,1684,391,400,374,464,838,101,1367.33,South Boston,3.2291990485e-05,0.025715036243789
153,25025981502,13774214.08,316.2124,9,3,0,0,0,0,0,2,4.13,East Boston,0.000139928130624,0.06057001436296
154,25025060600,13571977.55,311.5697,2357,1530,123,68,187,164,351,318,978.98,South Boston Waterfront,0.000137767074482,0.102629393971979
155,25025060400,4297519.18,98.6575,4904,2543,237,367,682,608,1290,278,2151.51,South Boston,4.3613426661e-05,0.031031270395122
156,25025060200,1833887.31,42.1003,1916,999,96,329,158,203,361,32,797.86,South Boston,1.8611273799e-05,0.023831268027915
157,25025040801,10251246.56,235.3362,3900,2089,381,665,366,1564,1930,1761,1476.65,Charlestown,0.000104110402679,0.130847128534761
158,25025010203,3942467.47,90.5066,5569,3663,398,127,250,1955,2205,1964,2149.17,Fenway,4.0017886265e-05,0.037534025691926
159,25025110403,10231036.38,234.8723,4309,1767,672,951,592,775,1367,2161,1711.82,Roslindale,0.000103741685971,0.046189716768582
160,25025110201,3747839.93,86.0386,2051,874,256,510,219,515,734,1640,753.75,Roslindale,3.8004250534e-05,0.031912951894166
161,25025981000,12173242.68,279.4592,22,5,0,0,0,0,0,19,6.69,Roslindale,0.000123475574126,0.062788021506509
162,25025090100,4811070.98,110.447,4571,1863,974,1394,417,1554,1971,4485,1631.07,Roxbury,4.8802381291e-05,0.031604262365737
163,25025082100,3988567.24,91.5649,5025,2117,1104,1690,497,3197,3694,4963,1752.74,Roxbury,4.0463556584e-05,0.027439615194948
164,25025082000,4220856.09,96.8975,2815,1278,594,525,358,1035,1393,2763,1077.3,Roxbury,4.2822969961e-05,0.02735077360763
165,25025051200,4435460.51,101.8242,2379,1160,294,403,225,554,779,1030,921.22,East Boston,4.503628532e-05,0.069175513333528
166,25025050700,2924637.13,67.1404,4504,1606,372,887,191,1228,1419,3279,1577.45,East Boston,2.9700554785e-05,0.028426059240853
167,25025050600,1821435.1,41.8144,2063,806,210,380,134,763,897,1540,749.78,East Boston,1.8496235478e-05,0.020259269448874
168,25025050500,1235330,28.3593,1857,702,149,355,356,617,973,1147,688.53,East Boston,1.2544068365e-05,0.014792936822467
169,25025050400,1420513.59,32.6105,2372,1035,219,308,229,658,887,1437,911.34,East Boston,1.4424158098e-05,0.018323943037466
170,25025050300,3824484.97,87.7981,2251,1041,563,703,486,1534,2020,1601,833.28,East Boston,3.8837022906e-05,0.068313565714418
171,25025050200,2618361.16,60.1093,5231,1834,504,1156,319,1726,2045,3878,1799.97,East Boston,2.6591226518e-05,0.031509607609092
172,25025040300,3014756.67,69.2093,3882,2037,265,847,259,766,1025,713,1483.72,Charlestown,3.061740716e-05,0.031656684832325
173,25025040200,1545294.9,35.4751,1606,727,183,611,166,744,910,745,587.93,Charlestown,1.5693320225e-05,0.02329861193676
174,25025030500,2052881.84,47.1277,2538,1656,81,205,210,334,544,244,1074.25,North End,2.0844907115e-05,0.045188475680265
175,25025081900,4664571.96,107.0838,3115,1397,646,704,312,1101,1413,3047,1160.74,Roxbury,4.7325989967e-05,0.037267564169793
176,25025081800,4024571.84,92.3915,2898,1388,329,891,286,1263,1549,2820,1054.4,Roxbury,4.0835739277e-05,0.030773745300002
177,25025081700,6819156.25,156.5463,3820,1599,715,1250,420,1552,1972,3746,1404.47,Roxbury,6.9193844378e-05,0.036230014765375
178,25025081500,3619583.13,83.0942,2134,905,340,430,197,809,1006,1957,804.02,Roxbury,3.6726705604e-05,0.037180224019014
179,25025081400,6678367.07,153.3142,3003,1462,268,314,283,791,1074,2318,1185.22,Jamaica Plain,6.7770605433e-05,0.048306124534056
180,25025081300,6246271.61,143.3947,4760,2111,1146,1355,793,3109,3902,4461,1792.61,Jamaica Plain,6.3377461362e-05,0.042401854358575
