X,Y,OBJECTID,Address,Notes,AP_Name,Neighborhood
-71.07725816401323,42.330838888210529,14438,"906 Albany St., Roxbury, MA",need address verification & photo,ROX-ORCHARD-AP3,Roxbury
-71.045068420110667,42.332523929267801,14439,"95 G St., South Boston, MA",need address verification & photo,SB-HIGHSCHOOL-AP1,South Boston
-71.045127429543356,42.333269465331654,14440,"95 G St., South Boston, MA",need address verification & photo,SB-HIGHSCHOOL-AP2,South Boston
-71.044655360369987,42.332912560822393,14441,"95 G St., South Boston, MA",need address verification & photo,SB-HIGHSCHOOL-AP3,South Boston
-71.030201414447887,42.33191588797343,14442,"745 E. 7th St., South Boston, MA",need address verification & photo,SB-PERRY-AP1,South Boston
-71.024828949161389,42.333073855683175,14443,"Farragut Rd. & Day Blvd., South Boston, MA",need address verification & photo,SB-PERRY-AP3,South Boston
-71.04409209602558,42.330073115967387,14833,"1406 Columbia Rd., South Boston, MA",need address verification & photo,SB-HIGHSCHOOL-GSTREET-AP4,South Boston
-71.11514356278704,42.308759754426653,15234,"20 South St, Jamaica Plain",,JP-Curtis Hall-BCYF-AP2,
-71.115157842406802,42.308928765597891,15235,"20 South St, Jamaica Plain",,JP-Curtis Hall-BCYF-AP1,
-71.115584269977219,42.308230435731922,15634,"55 South St, Jamaica Plain",,JP-Curtis Hall-BCYF-AP3,
-71.039704078289262,42.368903859922945,17236,"201 Sumner St, East Boston",,EB-MAVERICKSQUARE,
-71.114469847883512,42.310679024181084,17635,"746 Centre Street, Jamaica Plain",,JP-BFDE28-AP1,
-71.1145396362013,42.310517746303098,18035,"746 Centre St, Jamaica Plain",,JP-BFDE28-AP2,
-71.115211097231779,42.310025767003246,18036,"761 Centre St, Jamaica Plain",,JP-BFD28-AP3,
-71.146104072716057,42.349190752530902,18435,"25 Warren St, Brighton MA",,AB-BRIGHTON-HIGH-AP1,
-71.145535843383101,42.349056482730255,18436,"25 Warren St, Brighton MA",,AB-BRIGHTON-HIGH-AP2,
-71.144855514184144,42.34887650273572,18437,"25 Warren St, Brighton MA",,AP-BRIGHTON-HIGH-AP3,
