X,Y,gid,Name,description,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
-71.0996309817769,42.2754534531926,593,,,8417,Savannah Woods II,Private,,6,Mattapan,0.73,,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,,,n/a,0,0,31852.9223632812,1790.85465043807,,INFO_Reallocation From Dept
-71.0580419941483,42.3119955843388,594,,,8418,Melvinside Play Area,Private,,3,Dorchester,0.4,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,17476.134765625,814.954326349182,,INFO_Reallocation From Dept
-71.0975817657115,42.3366783701509,595,,,8419,Huntington-Vancouver Triangle,Private,,1,Fenway/Kenmore,0.14,,Institutional District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,6023.15063476562,349.616080477897,,INFO_Reallocation From Dept
-71.0920663360514,42.339508162075,596,,,8420,Huntington-Hemenway Mall,City of Boston,,1,Fenway/Kenmore,0.33,Crnr Huntington Ave & Hemenway St,Residential District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,14335.7458496094,619.142082283047,,INFO_Reallocation From Dept
-71.1075317705629,42.2875211004124,597,,,8421,Canterbury Brookside II,Private,WPA,6,Roslindale,0.49,,Commercial/Office/Business District,Urban Wilds & Natural Areas,NULL,,N,,,,0,0,21489.9196777344,855.679753421092,,INFO_Reallocation From Dept
-71.0850018814784,42.2901455144706,598,,,8422,Franklin Field BHA Green,City of Boston,,3,Mattapan,0.7,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,X,,,0,0,30634.5205078125,863.978413004474,,PARK_Maintenance_Ground Maintenance
-71.0873129165282,42.2902885575767,599,,,8423,Franklin Field BHA Playground,City of Boston,,3,Mattapan,0.39,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,X,,,0,0,17021.6323242188,592.290923999759,,INFO_Reallocation From Dept
-71.0792855223704,42.3152734898227,600,,,8424,ELC Playlot,City of Boston,,3,Roxbury,0.45,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,19494.5642089844,562.619732258074,,INFO_Reallocation From Dept
-71.0932935095191,42.3293808763995,601,,,8425,John Eliot Square Urban Wild,BNAN_TTOR,Land Trust,6,Roxbury,0.08,,Residential District,Urban Wilds & Natural Areas,NULL,,N,,,,0,0,3308.23583984375,250.906464738628,,INFO_Reallocation From Dept
-71.099339985624,42.2751506967271,602,,,8426,Savannah Woods I,City of Boston,,6,Mattapan,3.2,,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,,,DND,0,0,139206.540771484,3156.04593668809,,INFO_Reallocation From Dept
